latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.110721,80.2459,10.0,0,GMT,GMT

time,temperature_2m_max (°C),precipitation_sum (mm)
2013-01-01,28.7,0.00
2013-01-02,28.3,0.00
2013-01-03,28.7,0.00
2013-01-04,28.8,0.00
2013-01-05,29.1,0.00
2013-01-06,29.0,0.00
2013-01-07,28.3,0.00
2013-01-08,28.8,0.00
2013-01-09,28.5,0.00
2013-01-10,28.9,0.00
2013-01-11,28.5,0.00
2013-01-12,28.3,0.00
2013-01-13,28.5,0.00
2013-01-14,28.3,0.00
2013-01-15,28.2,0.00
2013-01-16,28.4,0.00
2013-01-17,28.2,0.00
2013-01-18,27.7,0.00
2013-01-19,28.6,0.00
2013-01-20,28.6,0.20
2013-01-21,28.6,0.00
2013-01-22,28.7,0.00
2013-01-23,28.5,0.00
2013-01-24,28.6,0.00
2013-01-25,28.5,0.00
2013-01-26,28.7,0.00
2013-01-27,29.0,0.00
2013-01-28,29.2,0.00
2013-01-29,29.1,0.00
2013-01-30,29.1,0.00
2013-01-31,29.4,0.00
2013-02-01,28.3,0.00
2013-02-02,28.8,0.00
2013-02-03,29.6,0.00
2013-02-04,29.4,0.00
2013-02-05,30.1,0.00
2013-02-06,29.9,0.00
2013-02-07,30.9,0.00
2013-02-08,31.2,0.00
2013-02-09,29.3,0.00
2013-02-10,29.6,0.00
2013-02-11,29.8,0.00
2013-02-12,29.1,0.00
2013-02-13,30.1,0.00
2013-02-14,29.6,0.00
2013-02-15,29.2,0.30
2013-02-16,31.3,3.70
2013-02-17,31.5,7.20
2013-02-18,29.2,8.90
2013-02-19,29.6,0.90
2013-02-20,29.5,0.00
2013-02-21,29.1,0.00
2013-02-22,29.5,0.00
2013-02-23,29.4,0.00
2013-02-24,29.1,0.00
2013-02-25,30.0,0.00
2013-02-26,31.2,0.00
2013-02-27,31.8,0.00
2013-02-28,31.5,0.00
2013-03-01,31.3,0.00
2013-03-02,31.2,0.00
2013-03-03,31.0,0.00
2013-03-04,30.8,0.00
2013-03-05,30.7,0.20
2013-03-06,29.1,8.20
2013-03-07,30.2,0.00
2013-03-08,30.8,0.00
2013-03-09,32.2,0.40
2013-03-10,32.2,0.00
2013-03-11,32.4,0.00
2013-03-12,32.4,0.00
2013-03-13,32.1,0.00
2013-03-14,32.3,0.00
2013-03-15,31.5,0.00
2013-03-16,32.1,0.00
2013-03-17,32.8,0.00
2013-03-18,31.9,0.00
2013-03-19,32.3,0.00
2013-03-20,33.3,0.00
2013-03-21,33.9,0.00
2013-03-22,34.4,0.00
2013-03-23,34.0,0.00
2013-03-24,32.8,0.00
2013-03-25,34.0,0.00
2013-03-26,35.0,0.00
2013-03-27,35.5,0.00
2013-03-28,34.6,0.00
2013-03-29,34.4,0.00
2013-03-30,34.1,0.00
2013-03-31,34.9,0.00
2013-04-01,35.1,0.00
2013-04-02,34.0,0.00
2013-04-03,33.8,0.00
2013-04-04,35.2,0.00
2013-04-05,36.4,0.00
2013-04-06,37.1,0.00
2013-04-07,36.3,0.00
2013-04-08,35.2,0.00
2013-04-09,34.7,0.00
2013-04-10,34.5,0.00
2013-04-11,34.8,0.00
2013-04-12,34.6,0.00
2013-04-13,32.6,1.30
2013-04-14,33.8,0.10
2013-04-15,35.9,0.00
2013-04-16,37.7,0.00
2013-04-17,37.0,0.00
2013-04-18,37.0,0.00
2013-04-19,36.8,0.00
2013-04-20,35.8,0.00
2013-04-21,33.2,2.10
2013-04-22,33.7,0.90
2013-04-23,33.2,1.70
2013-04-24,33.3,1.00
2013-04-25,33.3,0.30
2013-04-26,33.6,0.00
2013-04-27,35.2,0.40
2013-04-28,37.1,0.00
2013-04-29,36.5,0.00
2013-04-30,35.3,0.00
2013-05-01,35.8,0.00
2013-05-02,36.4,0.00
2013-05-03,37.3,0.00
2013-05-04,36.5,0.00
2013-05-05,36.1,0.00
2013-05-06,34.6,0.00
2013-05-07,35.0,0.00
2013-05-08,37.8,0.00
2013-05-09,38.1,0.00
2013-05-10,38.4,0.00
